Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ONGC,EQ,06-Oct-2022,133.9,136.5,136.55,132.4,132.65,132.65,133.85,"1,45,70,735","1,95,03,11,519.35","83,007","49,03,002",33.65
ONGC,EQ,07-Oct-2022,132.65,132.05,134.25,131.2,134.0,134.05,132.95,"1,35,32,236","1,79,91,28,444.10","63,473","59,16,006",43.72
ONGC,EQ,10-Oct-2022,134.05,133.0,134.0,132.2,133.25,133.25,133.4,"1,01,83,057","1,35,84,06,186.30","50,759","46,70,354",45.86
ONGC,EQ,11-Oct-2022,133.25,133.25,133.5,130.25,131.1,131.1,131.36,"1,31,76,461","1,73,08,26,313.35","66,082","41,69,485",31.64
ONGC,EQ,12-Oct-2022,131.1,131.1,132.0,129.1,131.35,131.35,130.65,"94,01,804","1,22,83,14,679.75","56,711","31,26,801",33.26
ONGC,EQ,13-Oct-2022,131.35,131.2,131.85,127.65,130.0,129.85,129.39,"1,33,20,136","1,72,35,07,834.55","62,333","49,27,738",36.99
ONGC,EQ,14-Oct-2022,129.85,132.0,132.8,127.05,127.65,127.6,129.31,"1,32,05,955","1,70,76,92,390.60","65,554","50,83,870",38.50
ONGC,EQ,17-Oct-2022,127.6,127.0,128.2,126.0,128.0,127.8,127.21,"93,20,940","1,18,57,38,436.35","50,726","33,17,662",35.59
ONGC,EQ,18-Oct-2022,127.8,128.45,129.1,127.6,128.8,128.7,128.33,"64,90,293","83,29,13,042.95","35,373","31,91,658",49.18
ONGC,EQ,19-Oct-2022,128.7,128.7,128.7,127.4,127.5,127.8,128.0,"73,81,712","94,48,54,748.15","54,399","33,68,487",45.63
ONGC,EQ,20-Oct-2022,127.8,127.0,131.0,125.8,129.35,129.6,128.76,"1,87,48,363","2,41,40,24,880.20","64,098","98,78,069",52.69
